sample_duration,sample_offset,threshold_method,threshold,event_minimum_rel_overlap,event_preictal_tolerance,event_postictal_tolerance,event_minimum_separation,event_maximum_duration,n_samples,n_true_seizures,total_duration,sample_roc_auc,sample_prc_auc,sample_tp,sample_tn,sample_fp,sample_fn,sample_sensitivity,sample_specificity,sample_precision,sample_recall,sample_f_score,sample_accuracy,sample_balanced_accuracy,event_tp,event_fp,event_sensitivity,event_precision,event_recall,event_f_score,event_false_detections_per_hour,event_false_detections_per_interictal_hour,event_average_detection_delay,model,patient,fold
3,3,fixed,0.4211905598640442,0,30,60,90,360,2399,1,7197,0.9896478717738898,0.9549862697149695,61,2331,2,5,0.9242424242424242,0.9991427346763824,0.9682539682539683,0.9242424242424242,0.9457364341085271,0.9970821175489787,0.9616925794594033,1,0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,epidenet_1ch_v3_2_mean,5,2
3,3,fixed,0.4829444885253906,0,30,60,90,360,2399,1,7197,0.9897550299393421,0.9624727449480508,62,2333,0,4,0.9393939393939394,1.0,1.0,0.9393939393939394,0.96875,0.9983326385994165,0.9696969696969697,1,0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,epidenet_4ch,5,2
3,3,fixed,0.64453125,0,30,60,90,360,9596,3,28788,0.9897203115180179,0.9136533926114966,240,9267,5,84,0.7407407407407407,0.9994607420189818,0.9795918367346939,0.7407407407407407,0.843585237258348,0.9907253022092538,0.8701007413798613,3,4,1.0,0.42857142857142855,1.0,0.6,0.5002084201750729,0.5176876617773942,-12.0,epidenet_1ch_og,5,3
3,3,fixed,0.4345703125,0,30,60,90,360,2399,1,7197,0.9967671151162667,0.9832932786048316,69,2317,1,12,0.8518518518518519,0.9995685936151855,0.9857142857142858,0.8518518518518519,0.9139072847682119,0.9945810754481034,0.9257102227335187,1,1,1.0,0.5,1.0,0.6666666666666666,0.5002084201750729,0.5176876617773942,6.0,epidenet_1ch_og_mean,5,3
3,3,fixed,0.4911612868309021,0,30,60,90,360,9596,3,28788,0.9847353375089211,0.8723576824660039,248,9223,49,76,0.7654320987654321,0.9947152717860225,0.835016835016835,0.7654320987654321,0.7987117552334942,0.9869737390579408,0.8800736852757273,3,18,1.0,0.14285714285714285,1.0,0.25,2.2509378907878284,2.329594477998274,-13.0,epidenet_1ch_v3_2,5,3
3,3,fixed,0.23581445217132568,0,30,60,90,360,2399,1,7197,0.9990146891211027,0.9840091760722937,78,2299,19,3,0.9629629629629629,0.9918032786885246,0.8041237113402062,0.9629629629629629,0.8764044943820225,0.9908295122967903,0.9773831208257437,1,7,1.0,0.125,1.0,0.2222222222222222,3.501458941225511,3.62381363244176,6.0,epidenet_1ch_v3_2_mean,5,3
3,3,fixed,0.12352218478918076,0,30,60,90,360,2399,1,7197,0.9933744500900095,0.9820166216641812,75,2318,0,6,0.9259259259259259,1.0,1.0,0.9259259259259259,0.9615384615384615,0.9974989578991247,0.962962962962963,1,0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,epidenet_4ch,5,3
3,3,fixed,0.30078125,0,30,60,90,360,9596,3,28788,0.9626327350150927,0.8779564772182122,268,9204,72,52,0.8375,0.9922380336351876,0.788235294117647,0.8375,0.8121212121212121,0.9870779491454773,0.9148690168175938,3,36,1.0,0.07692307692307693,1.0,0.14285714285714288,4.501875781575657,4.657179818887452,-19.0,epidenet_1ch_og,5,4
3,3,fixed,0.23828125,0,30,60,90,360,2399,1,7197,0.9882384648555411,0.960724929392889,72,2311,8,8,0.9,0.9965502371711945,0.9,0.9,0.9,0.9933305543976657,0.9482751185855973,1,4,1.0,0.2,1.0,0.33333333333333337,2.0008336807002918,2.069857697283312,6.0,epidenet_1ch_og_mean,5,4
3,3,fixed,0.1745692491531372,0,30,60,90,360,9596,3,28788,0.9599175627964639,0.8781035577888091,293,8341,935,27,0.915625,0.8992022423458387,0.23859934853420195,0.915625,0.37855297157622736,0.8997498957899125,0.9074136211729193,3,67,1.0,0.04285714285714286,1.0,0.0821917808219178,8.378491037932472,8.667529107373868,-15.0,epidenet_1ch_v3_2,5,4
3,3,fixed,0.17582841217517853,0,30,60,90,360,2399,1,7197,0.9881387451487711,0.9682923055121277,78,2141,178,2,0.975,0.9232427770590772,0.3046875,0.975,0.46428571428571425,0.924968736973739,0.9491213885295386,1,19,1.0,0.05,1.0,0.09523809523809523,9.503959983326386,9.831824062095732,-30.0,epidenet_1ch_v3_2_mean,5,4
3,3,fixed,0.08714532852172852,0,30,60,90,360,2399,1,7197,0.9809373652436395,0.9346862560347278,70,2303,16,10,0.875,0.9931004743423889,0.813953488372093,0.875,0.8433734939759036,0.9891621508962067,0.9340502371711945,1,9,1.0,0.1,1.0,0.18181818181818182,4.501875781575657,4.657179818887452,24.0,epidenet_4ch,5,4
